heading,subheading,category
Scotland,"Sharif Ahmadzai, 26, is being held in connection with the death of Elisabeth Ross from Edinburgh.",business
The Chinese robot army transforming the UK's retail industry,"Increasingly, the journey starts with a squat silver floor robot gliding beneath a storage rack, lifting a shelf and carrying it across a warehouse to a waiting worker.",business
N. Ireland,"Anna Owens said she felt ""betrayed and deflated"" when the arrangements she had verbally agreed were changed by a new manager.",business
Half-price rail travel extended to 18-year-olds,"It's an extension of the 16-17 Saver railcard which currently expires when the holder turns 18. From 17 August, they will be valid for a full year from the date of purchase.",business
The kelp producer who wants to get Americans eating seaweed,"On a February morning, when most of coastal New England is braced against the cold, Suzie Flores is frequently out on the water. The sea has to be calm enough, ice cleared from the boat, GPS buoys still where she left them.",business
Paramount chief executive David Ellison breaks silence on Warner Bros mega merger,"Opposition to the mega-merger relies on a vision of Hollywood that ""no longer exists,"" he wrote in an op-ed published by The New York Times.",business
"Vegetables to get smaller and more expensive due to hot weather, farmers warn","England and Wales saw their driest July since records began 190 years ago, according to the Met Office, and adrought has been declaredacross large parts of the country.",business
The 20-somethings betting big on tech stocks,"The 26-year-old describes it as ""a somewhat silly promise"" inspired by the sacrifices her non-English-speaking parents made to raise the family.",business
Police raid Starbucks Korea headquarters over 'Tank Day' fiasco,"Starbucks Korea had in May launched a coffee tumbler promotion called ""Tank Day"" on the anniversary of the 1980 Gwangju Uprising, where hundreds were believed to have been killed by military forces.",business
Trump says Iran will be 'hit very hard' if Hormuz Strait not open soon as oil prices fall,The US president was speaking to Fox News after Secretary of State Marco Rubio and Treasury Secretary Scott Bessent both said talks had progressed to allow shipments potentially to resume later this week.,business
"Wiped out by a hurricane, this US community is now a global energy giant","Back in 2005, Hurricane Rita ripped through the coastal county of Cameron Parish, destroying or badly damaging more than 90% of homes, with a repair bill of $2.75bn (£2bn).",business
Asia,"The company's shares soared by nearly 470% in its market debut, as the AI boom drives chip demand.",business
Scotland,Candidates in the race to replace Anas Sarwar have two weeks to secure the support needed to reach the ballot.,business
Fashion brand Jaded has ad banned for 'glamorising smoking',"Jaded London, whose clothes have been worn by Beyoncé and Kylie Jenner, used a picture of a woman on holiday holding a cigarette in one of its marketing emails.",business
US states sue to block Trump tariffs impacting dozens of countries,"The US says the tariffs, which range between 10% and 12.5%, were imposed due to trading partners - including the UK, China and the European Union - failing to properly tackle forced labour.",business
