headline,description,category
Canada's WestJet airline flight attendants go on strike -  can I get a refund?,Football's world governing body Fifa abandons plans to sell off stakes in its major competitions after widespread opposition to president Gianni Infantino's proposal.,Business
Fifa scraps controversial World Cup investment plan after outcry,It comes just days after rival OpenAI said rogue AI agents had breached other firms' networks.,Business
Anthropic's Claude AI escapes to hack into three organisations,The actual presentation of FIFA's plan to part-privatise the World Cup raises many more questions than it answers.,Business
Faisal Islam: Four reasons why Fifa's World Cup plan never stacked up,The decision follows a review of BP's operations and is set to end 60 years of production in the region by the oil giant.,Business
BP puts North Sea business up for sale,Billions of dollars are being poured into a new wave of AI technology. But will it pay off?,Business
Amazon and Apple just told us more about their AI plans - here are three things we learned,Britain's weak productivity growth and labour shortages are creating an opportunity for China's robotics firms.,Business
The Chinese robot army transforming the UK's retail industry,It comes after a three-day rout that wiped hundreds of billions of dollars off the value of the country's stock market.,Business
South Korean shares soar after chip stock rout,"While you need to answer the questions in an interview, your appearance and mannerisms are also crucial.",Business
What you wear can help you get a job - here's how,"Gain the leading edge with global insights for the boardroom and beyond, in your inbox every Wednesday.",Business
Sign up to World of Business,The BBC hears from people about the risks and rewards of investing in technology shares.,Business
The 20-somethings betting big on tech stocks,While US consumer confidence is at an historic low the Big Apple's sweet shops are expanding.,Business
"Tech, Iran, and Fed weigh on US shares",Marine farmer Suzie Flores also hopes the crop can revitalise the US's small fishing towns.,Business
Investors ditch chip stocks as fears of AI bubble grow,"Under the terms of the deal, Argos will still operate in Sainsbury's shops, sell Habitat products, and offer Nectar points.",Business
Wall Street rallies as investors await Fed rate decision,"Edward Killiwick was on the flight that issued a distress call, before it landed safely at Heathrow earlier this month.",Business
Expert says oil prices could go higher as Iran war escalates,"The price of unleaded hits 160p a litre, according to motoring group the RAC, as oil prices remain elevated.",Business
"Conflict and tariff wars impacting markets, expert says",Shares of Apple plunged on a warning of slower sales in the coming months.,Business
Stocks climb thanks to semiconductors and strong earnings,"Chris Weston said Thames wanted ""to do better"" but some of its targets were not achievable.",Business
Markets open higher as US producer prices fall in June,Could you live communally in a disused building in exchange for a heavily discounted rent? Property guardians show us around.,Business
Strong bank earnings despite warnings by JPMorgan CEO,Learn Steven's three crucial steps for validating your business proposal and why impartial feedback is vital.,Business
Wall Street opens lower amid tech sell-off,Learn why making your own decisions is the key to increasing your confidence.,Business
Chip giant SK Hynix makes Wall Street debut,"Learn how to listen to improve your self-awareness. People will give you information, and that's power.",Business
Oil prices climb as US launches military strikes on Iran,Learn how to avoid compulsive planning and instead hold plans loosely as a navigational aid.,Business
President Trump rings opening bell at the White House,Oliver offers tips on how to avoid getting distracted on social media when people profit from your scrolling.,Business
Dollar slides on weaker than expected job growth,"Forget trying to stop procrastinating. Instead, learn Oliver's three rules to become a better procrastinator.",Business
US markets fall amid Fed jitters,"Managing infinite emails, ideas, errands, and goals is hard. Oliver recommends a little strategic neglect.",Business
New candy stores are popping up across NYC. Why?,Discover why so many of our struggles are down to poor time management and denial of its finitude.,Business
The kelp producer who wants to get Americans eating seaweed,Steven shares his three 'M' goal-setting framework to help you be more productive for the long-term.,Business
India wants to join the strawberry superpowers,"Are they a bar raiser, bar maintainer or bar lowerer? Learn how to build a team that can get behind your mission.",Business
Sainsbury's agrees to sell Argos for £120m,Explore how you can use your mission to set the right culture for your business.,Business
Passenger on British Airways mayday flight describes fear and shout of 'I don't want to die',Find out how to counteract limiting beliefs you hold about yourself and build new ones that serve you better.,Business
UK petrol prices hit highest level since Iran war began,Learn how to start a business with nothing in the bank and how to get funding if you need it to get started.,Business
"Apple warns of future 'supply constraints' for Mac, iPhone, iPad",Steven explains the common obstacles to starting a business and why now is the time to start yours.,Business
Thames Water boss says leakage targets 'not realistic',"It marks a change of tone for his administration, which has taken a more hands-off approach to the technology.",Business
'I pay £580 a month to live in a disused care home': Property guardians show us around,The Seabrook factory takes its supply from family-run farm that has grown potatoes for 80 years.,Business
Why you must share your idea and get honest feedback,A US county flattened by Hurricane Rita is now the world's largest exporter of liquified natural gas.,Business
The power of making and owning decisions,"Marcia Kilgore, founder of Beauty Pie, shares her top tips on how to create a successful business.",Business
The power of absorbing information,The US and China are locked in a race to the lead the world in robotics and artificial intelligence.,Business
Why planning can be a form of procrastination,"Departing from tradition, Wimbledon shed its restraint to target new audiences in cricket-crazy India.",Business
How to navigate a world competing for your attention,"Former eBay executives carried out ""unprecedented"" harassment over a critical newsletter.",Business
The difference between 'good' and 'bad' procrastination,Trading on South Korea's Kospi index was paused temporarily on Tuesday morning after slumping by 8%.,Business
Why 'inbox zero' is a strategy that breeds distraction,The proposed settlement aims to close a years-long legal battle over claims its talcs products cause cancer.,Business
"How time creates problems, especially when it is so limited",Labels and adhesives can prevent paper from being recycled but there's new tech aimed at changing that.,Business
Why sustainable productivity will drive success,"The company's shares soared by nearly 470% in its market debut, as the AI boom drives chip demand.",Business
How to hire the best people for your team,The announcement comes as the fast fashion giant prepares for its stock market debut in Hong Kong.,Business
What is your business culture and why is it so important?,"With its renovation nearly complete, the Flatiron is ready for its next - and most extravagant - phase of life.",Business
"How to know yourself, grow yourself, and take control","Night-time deliveries are ubiquitous in hyper-connected Korea, stirring a debate about working conditions.",Business
How to get the money you need to start a business,"The divorce, involving the chairman of one of South Korea's biggest companies, has gripped the nation.",Business
